role,role_def,example_task
Investigation,"Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.","Reporting findings for further discussion, analysis, and exchange of ideas."
Methodology,Development or design of methodology; creation of models.,Developing quantitative and/or qualitative methodologies and frameworks.
Methodology,Development or design of methodology; creation of models.,Defining search strategies and determining criteria for systematic literature reviews.
Methodology,Development or design of methodology; creation of models.,"Determining study design such as participant selection, materials, settings, data characteristics, data collection, measurement, and analysis techniques."
Project Administration,Management and coordination responsibility for the research activity planning and execution.,"Monitoring and reporting progress, timelines, budgets, and compliance with ethical, governance, legal, health, safety, and other relevant standards."
Project Administration,Management and coordination responsibility for the research activity planning and execution.,"Recruiting participants needed for the research method (e.g. interviews, focus groups, surveys, fieldwork, clinical trials)."
Project Administration,Management and coordination responsibility for the research activity planning and execution.,"Organizing logistics for expeditions, fieldwork, equipment setup, and space allocation that support research operations."
Project Administration,Management and coordination responsibility for the research activity planning and execution.,"Managing correspondence with team members, journal editors, and various institutional departments."
Resources,"Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.","Preparing, transporting or managing access to samples, artefacts, tools, equipment, documents, archives, and digital/physical infrastructure."
Resources,"Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.","Inventory management, safekeeping of samples and providing reports on availability and state of resources."
Resources,"Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.",Calibrating and maintaining instruments and equipment.
Resources,"Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.",Coordinating data storage solutions and computational resources.
Software,"Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.","Designing, developing, testing, debugging, implementing, documenting, sharing and maintaining code."
Software,"Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.","Developing, maintaining, managing and optimizing digital infrastructure, libraries, and databases."
Software,"Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.","Conducting data extraction, data mining, and parsing content for qualitative or quantitative data collection and analysis."
Software,"Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.","Ensuring interoperability, functionality, and scalability of code, databases, systems or platforms across different environments."
Supervision,"Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.","Overseeing researchers and other team members by setting milestones, tracking progress, ensuring quality of deliverables, and promoting adherence to ethics and integrity norms."
Supervision,"Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.","Teaching, training, moderating and providing personal or professional advice to team members."
Supervision,"Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.","Guiding teams in refining methods, interpreting results, and addressing interpersonal challenges."
Supervision,"Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.","Collecting, logging, and reporting individual contributions to research."
Validation,"Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.","Ensuring the integrity, rigor and reliability of data, methods, results and resources through reviewing, verification, benchmarking, factchecking and replicating."
Validation,"Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.",Conducting pilot tests or preliminary studies to validate data collection instruments and protocols.
Validation,"Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.",Appraising studies included in systematic reviews and ensuring compliance with established review standards or reporting frameworks.
Validation,"Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.",Testing computational models or simulations against known outcomes for accuracy.
Visualization,"Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.","Using data to create charts, graphs or figures."
Visualization,"Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.",Creating videos and other interactive media for communicating the findings.
Writing - original draft,"Preparation, creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation).",Creating the first and full version of an article.
Writing - original draft,"Preparation, creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation).",Drafting substantial original text within a section or across sections in an article.
Writing - review & editing,"Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision - including pre- or post-publication stages.","Reviewing, copy-editing, refining language and providing comments and suggestions."
Writing - review & editing,"Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision - including pre- or post-publication stages.",Revising content based on feedback from internal and external reviewers.
Writing - review & editing,"Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision - including pre- or post-publication stages.","Providing review input of figures, tables, and supplementary materials."
